ticker
AAPL
GOOGL
MSFT
TSLA
AMZN
META
NVDA
AMD
SPY
QQQ
GME
AMC
BB
NOK
PLTR
WISH
CLOV
MVIS
SNDL
RKT
BTC
ETH
ADA
DOT
LINK
LTC
XRP
BCH
BNB
SOL
DOGE
SHIB
SAFEMOON
PEPE
FLOKI
ELON
BABYDOGE
