timestamp,ticker,mentions,sentiment_score,hype_score,rank
2025-07-25T09:50:31.517179,ETH,30,0.13506235290780935,1.302085612314009,1
2025-07-25T09:50:31.517013,BTC,38,0.17067980678586042,1.2970774328521693,2
2025-07-25T09:50:31.517152,XRP,30,-0.18969776941599187,0.7331583174889994,3
2025-07-25T09:50:31.517278,TRUMP,2,0.925,0.6908476058994545,4
2025-07-25T09:50:31.516918,CALLS,6,0.8725606205832555,0.5821801673123186,5
2025-07-25T09:52:55.773276,BTC,40,0.1827630009997645,1.27185422677489,1
2025-07-25T09:52:55.773461,ETH,29,0.09012041505040792,0.9824413096050806,2
2025-07-25T09:52:55.773431,XRP,29,-0.19345292859290156,0.687067640215107,3
2025-07-25T09:52:55.773561,TRUMP,2,0.925,0.6547991152719974,4
2025-07-25T09:52:55.773108,TERM,14,0.2099354347152771,0.5925034541152071,5
2025-07-25T09:57:47.867592,BTC,39,0.18521681570446136,1.227081768192764,1
2025-07-25T09:57:47.867684,ETH,28,0.08605667605676055,0.945014111066852,2
2025-07-25T09:57:47.867657,XRP,30,-0.18969776941599187,0.6743355322675039,3
2025-07-25T09:57:47.867519,TERM,14,0.2099354347152771,0.5581563437010161,4
2025-07-25T09:57:47.867559,CALLS,6,0.8725606205832555,0.5010344298380263,5
2025-07-25T09:57:47.867632,LINK,7,-0.016077736732675263,0.3832870817297349,6
2025-07-25T09:57:47.867611,PER,6,-0.00933685171452589,0.3263444963597791,7
2025-07-25T09:57:47.867546,THAT,10,-0.0031088438849385946,0.211395573372166,8
2025-07-25T09:57:47.867701,SOL,11,-0.08065271486525032,0.1843031050905065,9
2025-07-25T09:57:47.867622,IN,5,0.01795281228433404,0.007038620255611316,10
2025-07-25T10:02:41.315047,BTC,39,0.18521681570446136,1.2586845631241725,1
2025-07-25T10:02:41.315209,ETH,31,0.14699645971251388,1.1425951405342871,2
2025-07-25T10:02:41.315178,XRP,30,-0.18969776941599187,0.7216160494848277,3
2025-07-25T10:02:41.315318,TRUMP,2,0.925,0.6544510848430712,4
2025-07-25T10:02:41.314830,TERM,14,0.2099354347152771,0.6422172799385919,5
2025-07-25T10:13:49.887564,ETH,32,0.2425685931344666,1.2988047561372318,1
2025-07-25T10:13:49.887437,BTC,41,0.18040952075781563,1.2807952569200611,2
2025-07-25T10:13:49.887605,XRP,29,-0.19345292859290156,0.6760634407404198,3
2025-07-25T10:13:49.887270,TERM,14,0.2099354347152771,0.6569202657954106,4
2025-07-25T10:13:49.887698,TRUMP,2,0.925,0.644505171815446,5
2025-07-25T10:13:49.887346,CALLS,6,0.8725606205832555,0.5664297802980732,6
2025-07-25T10:13:49.887390,MORE,4,0.928266957907078,0.4827981661931421,7
2025-07-25T10:13:49.887286,FEW,2,0.2224105461393597,0.4747026016980646,8
2025-07-25T10:13:49.887582,LINK,7,-0.016077736732675263,0.46000656919046984,9
2025-07-25T10:13:49.887484,PER,6,-0.00933685171452589,0.3865102390310508,10
2025-07-25T10:16:22.666584,ETH,32,0.1623254255638298,1.3324239383503786,1
2025-07-25T10:16:22.666530,BTC,39,0.17972623485673764,1.2397912734440693,2
2025-07-25T10:16:22.666461,TERM,14,0.2099354347152771,0.5780947790735873,3
2025-07-25T10:16:22.666498,CALLS,6,0.8725606205832555,0.49777447404784186,4
2025-07-25T10:16:22.666621,XRP,23,-0.21588890892767984,0.46004057174919694,5
2025-07-25T10:20:37.121026,BTC,38,0.16507258804486355,1.2638424318260768,1
2025-07-25T10:20:37.121140,ETH,29,0.2101519540251373,1.22778780923028,2
2025-07-25T10:20:37.121261,TRUMP,2,0.925,0.6484099287323188,3
2025-07-25T10:20:37.120923,CALLS,6,0.8725606205832555,0.5710785120130741,4
2025-07-25T10:20:37.120860,TERM,12,0.23394846800520663,0.5645918073139523,5
2025-07-25T10:20:37.121175,XRP,23,-0.21588890892767984,0.5155496589429026,6
2025-07-25T10:20:37.120875,FEW,2,0.2224105461393597,0.4858298086711032,7
2025-07-25T10:20:37.121156,LINK,7,-0.016077736732675263,0.4751853002493428,8
2025-07-25T10:20:37.120984,MORE,3,0.9156843183282702,0.41148371320882143,9
2025-07-25T10:20:37.121054,PER,6,-0.00933685171452589,0.4025256604696138,10
2025-07-25T10:21:13.521006,BTC,40,0.1773842995936437,1.2767082716082814,1
2025-07-25T10:21:13.521141,ETH,31,0.167029230916718,1.26656053231772,2
2025-07-25T10:21:13.520830,TERM,14,0.2099354347152771,0.6674275026010258,3
2025-07-25T10:21:13.521267,TRUMP,2,0.925,0.6451197289495639,4
2025-07-25T10:21:13.520903,CALLS,6,0.8725606205832555,0.5661505326101243,5
2025-07-25T10:21:52.556896,BTC,35,0.19375854736499504,1.1910111024183347,1
2025-07-25T10:21:52.556982,ETH,22,0.2501891180182436,1.172735126037947,2
2025-07-25T10:21:52.556705,TERM,14,0.2099354347152771,0.7354457331461377,3
2025-07-25T10:21:52.557046,TRUMP,2,0.925,0.6489150402597574,4
2025-07-25T10:21:52.556781,CALLS,6,0.8725606205832555,0.5969280650747517,5
2025-07-25T10:21:52.556997,LINK,7,-0.016077736732675263,0.5145075517080764,6
2025-07-25T10:21:52.556840,MORE,4,0.928266957907078,0.5029357301720655,7
2025-07-25T10:21:52.556724,FEW,2,0.2224105461393597,0.48959442866843,8
2025-07-25T10:21:52.557017,XRP,20,-0.14849339850031337,0.4704758803179487,9
2025-07-25T10:21:52.556928,PER,6,-0.00933685171452589,0.4406984239671177,10
2025-07-25T10:39:10.722316,ETH,32,0.22223281859588223,1.374485298747172,1
